UGL,Union Glacier Blue-Ice Runway,AQ
EPT,Eliptamin,PG
MTJ,Montrose Regional Airport,US
EXI,SPB,US
SOI,South Molle Island,AU
PTR,Pleasant Harbour,US
FNK,Fin Creek,US
BAS,Balalae,SB
BMT,Beaumont Municipalcipal,US
BMV,Phung-Duc Airport,VN
BMY,Belep Island,NC
BNA,Nashville International Airport,US
BND,Bandar Abbas International Airport,IR
BQI,Bagani,NA
FXM,Flaxman Island,US
GTB,Genting,MY
HEX,Santo Domingo Herrera,DO
RXA,Raudha,YE
HGT,Hunter AAF,US
KGE,Kagau,SB
NBO,Jomo Kenyatta International Airport,KE
YPL,Pickle Lake,CA
YPX,Puvirnituq,CA
NMF,Maafaru International Airport,MV
QUP,Heliport,GL
VIK,Airstrip,US
WBI,Broker Inn,US
YPM,Pikangikum,CA
YCP,Co-op Point,CA
NBS,Changbaishan Airport,CN
NCE,Cote D'Azur Airport,FR
NEU,Sam Neua,LA
KOI,Kirkwall Airport,GB
MDA,Martindale Army Heliport,US
MJR,Miramar,AR
XBE,Bearskin Lake,CA
JSO,Sodertalje Heliport,SE
BDS,Brindisi - Salento Airport,IT
BDU,Bardufoss Airport,NO
BEB,Benbecula Airport,GB
YTK,Tulugak,CA
BED,Hanscom Field,US
BEF,Bluefields,NI
BQN,Rafael Hernandez Airport,PR
BQQ,Barra,BR
BQV,Bartlett SPB,US
BRV,Bremerhaven,DE
BTN,Bennettsville,US
BTP,Butler County - Kenny Scholter Field,US
BVA,Beauvais-Tille Airport,FR
BVB,Boa Vista Airport,BR
BVE,Laroche Airport,FR
BVR,Esperadinha,CV
FLE,Fort Lee AAF,US
GAF,Gafsa,TN
GEK,Ganes Creek,US
GFB,Togiak Fish,US
GLQ,Glennallen,US
JCH,Qasigiannguit,GL
JCJ,Chuja Heliport,KR
YLF,LaForges,CA
YSG,Lutselke,CA
CEL,Cape Eleuthera,BS
YSE,Squamish,CA
YRT,Rankin Inlet Airport,CA
WLB,Labouchere Bay,US
KNV,Knights Inlet,CA
MIK,Mikkeli,FI
YDX,Doc Creek,CA
YTN,Riviere Au Tonnerre,CA
AAM,Mala Mala,ZA
BGR,Bangor International Airport,US
BWA,Bhairawa Airport,NP
BWL,Blackwell,US
BWM,Bowman,US
BWW,Las Brujas Airport,CU
BXA,George R Carr,US
BXC,Boxborough,US
BXG,Bendigo,AU
BXH,Balhash,KZ
BXI,Boundiali,CI
BXJ,Burundai,KZ
FGL,Fox Glacier,NZ
MIM,Merimbula Airport,AU
MJD,Mohenjodaro,PK
NTQ,Noto Airport,JP
APR,April River,PG
KPF,Kondubol,PG
WHH,Hiltons Har H,US
MJN,Amborovy,MG
MLF,Milford,US
DCP,Cabin Plant Heliport,CA
MLJ,Baldwin County,US
XKS,Kasabonika,CA
DGG,Daugo,PG
CUW,Cube Cove,US
BKU,Betioky,MG
BXK,Buckeye Municipal,US
BXS,Borrego Springs,US
BXT,Bontang,ID
BXX,Borama International,SO
BXY,Baikonur Krayniy Airport,KZ
BYA,Boundary,US
BYB,Dibaa,OM
BYD,Beidah,YE
BYF,Albert-Bray Airport,FR
BYG,Municipal,US
BYI,Rupert,US
BZT,Eagle Air Park,US
BZY,Beltsy Airport,MD
CAA,Catacamas,HN
KPG,Kurupung,GY
KRX,Kar Kar,PG
KUQ,Kuri,PG
EHT,Rentschler,US
JNS,Heliport,GL
FAG,Fagurholsmyri,IS
SWB,Shaw River,AU
BKG,Branson,US
KHW,Khwai River Lodge,BW
BBK,Kasane Airport,BW
BJY,Batajnica,RS
BKI,Kota Kinabalu International Airport,MY
BKL,Burke Lakefront Airport,US
BBZ,Zambezi,ZM
BJX,Guanajuato International Airport,MX
BKN,Balkanabat Airport,TM
BMI,Central Illinois Regional Airport,US
BMO,Bhamo,MM
CAB,Cabinda Airport,AO
MLK,Malta,US
MLM,Morelia Airport,MX
MLR,Millicent,AU
GUE,Guriaso,PG
MLS,Municipal,US
MMR,Camp Maybry AHP,US
MMT,Mc Entire ANG Base,US
NNI,Namutoni,NA
KWR,Kwai Harbour,SB
CAC,Cascavel Airport,BR
CAF,Carauari,BR
YXF,Snake River,CA
YDW,Obre Lake,CA
RSP,Raspberry Strait,US
WHD,SPB,US
MNR,Mongu,ZM
MMV,Mal,PG
ZBU,Aarhus Limo,DK
YSZ,Squirrel Cove,CA
MMW,Moma,MZ
CAM,Camiri,BO
GUN,Gunter AFB,US
CAO,Clayton,US
CAQ,Caucasia,CO
CAR,Municipal,US
CAS,Anfa,MA
CAU,Caruaru,BR
CAW,Bartolomeu Lisandro Airport,BR
CBB,J Wilsterman Airport,BO
CBF,Municipal,US
CBG,Cambridge Airport,GB
CBH,Leger,DZ
CBK,Municipal,US
IIN,Nishinoomote,JP
CBL,Ciudad Bolivar,VE
XKO,Kemano,CA
CBN,Penggung,ID
KNY,Kinoosao,CA
CBS,Oro Negro,VE
CCC,Jardines del Rey Airport,CU
CCF,Carcassonne Airport,FR
CCH,Chile Chico,CL
MNS,Mansa,ZM
CCI,Concordia,BR
CCK,Cocos Islands Airport,CC
YDA,Dawson City Airport,CA
ZQW,Zweibruecken Airport,DE
JRB,Downtown Manhattan Heliport,US
WLN,Little Naukati,US
RAB,Tokua Airport,PG
RRS,Roros Airport,NO
WRH,Wrench Creek,US
CCM,Criciuma,BR
CCN,Chakcharan,AF
CCQ,Cachoeira,BR
CCT,Colonia Catriel,AR
HAX,Hatbox Field,US
YBM,Bronson Creek,CA
WAN,Waverney,AU
WUG,Wau,PG
BNK,Ballina Byron Airport,AU
BNL,Barnwell Regional,US
BNN,Bronnoysund Airport Bronnoy,NO
MNA,Melangguane,ID
UMB,North Shore,US
MNI,Bramble Airport,MS
MLU,Monroe Regional Airport,US
YRA,Rae Lakes,CA
MME,Durham Tees Valley Airport,GB
ASI,Saint Helena Airport,SH
BAN,Basongo,CD
BHC,Bhurban Heliport,PK
BNI,Benin City Airport,NG
BPA,Grumman,US
BPS,Porto Seguro Airport,BR
MMF,Mamfe,CM
BPX,Bangda Airport,CN
BQG,Bogorodskoye,RU
MNN,Municipal,US
MMH,Mammoth Lakes Airport,US
MMK,Murmansk Airport,RU
GFA,Malmstrom AFB,US
MMM,Middlemount,AU
HNX,Hanna,US
FGR,Fuengirola,ES
ILF,Ilford,CA
FIN,Finschhafen,PG
FMG,Flamingo,CR
GBO,Baltimore Greenbelt T,US
IUM,Summit Lake,CA
MMQ,Mbala,ZM
MMU,Morristown Municipal Airport,US
MMX,Malmo Airport,SE
DSC,Dschang,CM
LSA,Losuia,PG
RBV,Ramata,SB
PEN,Penang International Airport,MY
BSK,Biskra Airport,DZ
MCZ,Maceio-Zumbi dos Palmares International Airport,BR
EBW,Ebolowa,CM
CCU,Netaji Subhas Chandra Bose Airport,IN
MDB,Melinda,BZ
CCY,Municipal,US
AOD,Abou Deia,TD
AZR,Adrar Airport,DZ
BPC,Bamenda,CM
BQS,Blagoveschensk Airport,RU
BQT,Brest Airport,BY
BRA,Barreiras Airport,BR
BRB,Barreirinhas,BR
BSB,Brasilia International Airport,BR
CDE,Caledonia,PA
CDH,Harrell Field,US
CDK,Lewis,US
CDN,Woodward Field,US
MDD,Airpark,US
MDF,Medford,US
GBG,Galesburg,US
IRA,Kirakira Airport,SB
MDI,Makurdi,NG
MDJ,City-county,US
PEW,Bacha Khan International Airport,PK
PEY,Penong,AU
PEZ,Penza Airport,RU
PHL,Philadelphia International Airport,US
PHN,St Clair County International,US
PKE,Parkes Airport,AU
PKZ,Pakse Airport,LA
PLA,Planadas,CO
PLF,Pala,TD
PLL,Ponta Pelada,BR
CZL,Ain El Bey Airport,DZ
YRB,Resolute Bay Airport,CA
QBC,Bella Coola Airport,CA
ACE,Lanzarote Airport,ES
CDP,Cuddapah,IN
CDS,Childress,US
CDW,Caldwell Wright,US
CEE,Cherepovets Airport,RU
CEF,Westover ARB/Metropolitan,US
CEG,Hawarden Airport,GB
CEO,Waco Kungo,AO
CES,Cessnock,AU
CET,Le Pontreau,FR
CEU,Oconee County,US
CEV,Mettle Field,US
MIQ,Simón Bolívar International,US
MDX,Mercedes,AR
MED,Prince Mohammad Bin Abdulaziz International Airport,SA
PLM,Sultan Mahmud Badaruddin II Airport,ID
PLN,Emmet County Airport,US
PLO,Port Lincoln Airport,AU
PLS,Providenciales International Airport,TC
PLW,Mutiara Airport,ID
PLZ,Port Elizabeth International Airport,ZA
PMC,El Tepual Airport,CL
PMI,Palma de Mallorca Airport,ES
PNH,Phnom Penh International Airport,KH
PNI,Pohnpei Airport,FM
BSQ,Bisbee Municipal Airport,US
DHO,Horn River,CA
KEA,Keisah Airport,ID
AMF,Ama,PG
SVY,Savo,SB
VAO,Suavanao Airstrip,SB
YAU,Kattiniq/donaldson,CA
YAD,Moose Lake,CA
YAX,Angling Lake Airport,CA
AMR,Arno,MH
BBV,Hkg,CI
BST,Bost,AF
BSU,Basankusu,CD
CEW,Bob Sikes,US
BSM,Bishe-kola,IR
CEY,Calloway County,US
AAW,Abbottabad,PK
LYT,Lady Elliot Island,AU
AHT,Amchitka,US
BSO,Basco Airport,PH
CFQ,Creston Valley Airport,CA
CFR,Carpiquet Airport,FR
CFT,Morenci,US
MEV,Douglas County,US
MEX,Benito Juarez International Airport,MX
MFC,Mafeteng,LS
GBC,Gasuke,PG
MFD,Lahm Municipal,US
POA,Salgado Filho International Airport,BR
POD,Podor,SN
POG,Port Gentil,GA
POH,Pocahontas Municipal,US
PPT,Tahiti Faa'a Airport,PF
PPY,Pouso Alegre,BR
PPZ,Puerto Paez,VE
PRY,Wonderboom Airport,ZA
PSA,Pisa International Airport,IT
PSC,Tri-Cities Airport,US
GUV,Mougulu,PG
YFB,Iqaluit Airport,CA
HAH,Prince Said Ibrahim Internatonal Airport,KM
PVD,Theodore Francis Green Memorial State Airport,US
PVG,Shanghai Pudong International Airport,CN
PVH,Porto Velho International Airport,BR
MRM,Manare,PG
MNC,Nacala,MZ
TPI,Tapini,PG
SBE,Suabi,PG
MND,Medina,CO
YBV,Berens River Airport,CA
YBW,Springbank,CA
YBB,Kugaaruk,CA
YBF,Bamfield,CA
MPE,Griswold,US
YDB,Burwash Landings,CA
YER,Fort Severn,CA
YCS,Chesterfield Inlet,CA
MPJ,Petit Jean Park,US
MNX,Manicore,BR
MOB,Mobile Regional Airport,US
AAE,Les Salines Airport,DZ
AAI,Arraias,BR
AAU,Asau,WS
AAX,Araxa Airport,BR
ABA,Abakan Airport,RU
ABF,Abaiang,KI
APE,San Juan Aposento,PE
BIY,Bisho,ZA
BTJ,Sultan Iskandar Muda International Airport,ID
BTR,Baton Rouge Metropolitan Airport,US
BTV,Burlington International Airport,US
CFV,Municipal,US
CGB,Marechal Rondon International Airport,BR
CGE,Cambridge,US
MOC,Montes Claros Airport,BR
MOE,Momeik,MM
MPQ,Maan,JO
MPR,Mcpherson,US
MPS,Mount Pleasant,US
YLM,Clinton Creek,CA
YKE,Knee Lake,CA
YGK,Kingston/Norman Rogers Airport,CA
MPT,Maliana,TL
WAQ,Antsalova,MG
MOL,Molde Airport Aro,NO
YHD,Dryden Regional Airport,CA
YIK,Ivujivik,CA
DJN,Delta Junction,US
EFO,East Fork Airport,US
MOQ,Morondava Airport,MG
MOT,Minot International Airport,US
MOV,Moranbah Airport,AU
MPH,Boracay Airport,PH
MPK,Mokpo,KR
ACJ,Anuradhapura,LK
ACM,Arica,CO
ACU,Achutupo,PA
ADA,Adana Airport,TR
ADE,International,YE
ADF,Adiyaman Airport,TR
ADN,Andes,CO
ADR,Andrews,US
ADZ,Gustavo Rojas Pinilla Airport,CO
BWC,Brawley,US
BWD,Brownwood,US
BWN,Brunei International Airport,BN
BWO,Balakovo,RU
CGG,Casiguran,PH
CGH,Sao Paulo/Congonhas Airport,BR
CGJ,Chingola,ZM
MPL,Montpellier Mediterranee Airport,FR
MPO,Mt Pocono,US
MQK,San Matias,BO
MQY,Smyrna,US
MRI,Merrill Field,US
BQE,Bubaque,GW
MFZ,Mesalia,PG
BSV,Besakoa,MG
BWT,Burnie Wynyard Airport,AU
YLC,Kimmirut,CA
YPO,Peawanuck,CA
PXU,Pleiku Airport,VN
BXN,Imsik,TR
YWL,Williams Lake Airport,CA
YPI,Port Simpson,CA
QUO,Akwa Ibom Airport,NG
MQV,Mostaganem,DZ
CAD,Cadillac,US
YOJ,Footner Lake Airport,CA
MQW,Telfair-Wheeler,US
CAG,Cagliari Elmas Airport,IT
MQX,Makale Airport,ET
YQN,Nakina,CA
MQZ,Margaret River,AU
MRA,Misurata Airport,LY
CAH,Kamau,VN
CBR,Canberra Airport,AU
CBT,Catumbela Airport,AO
CGQ,Changchun Longjia International Airport,CN
CGR,Campo Grande International Airport,BR
AEP,Jorge Newbery Airport,AR
AFA,San Rafael Airport,AR
AFI,Amalfi,CO
AFY,Afyon,TR
AGB,Augsburg Airport,DE
AGE,Flugplatz,DE
AGF,La Garenne Airport,FR
AGI,Wageningen,SR
AGT,Alejo Garcia Airport,PY
AGU,Aguascalients International Airport,MX
APP,Asapa,PG
CGU,Ciudad Guayana,VE
CGV,Caiguna,AU
CGY,Laguindingan International Airport,PH
MRC,Maury County,US
MRD,A Carnevalli,VE
MRF,Municipal,US
CBW,Campo Mourao,BR
MWY,Miranda Downs,AU
YQT,Thunder Bay International Airport,CA
RFS,Rosita,NI
CCB,Cable Airport,US
RGK,Gorno-Altaysk Airport,RU
CCG,Crane County Airport,US
CCJ,Calicut International Airport,IN
MWG,Marawaka,PG
MXH,Moro Airport,PG
AHM,Sumner Parker Field,US
CDY,Cagayan De Sulu,PH
MRJ,Marcala,HN
KMR,Karimui,PG
CEB,Mactan-Cebu International Airport,PH
CEC,Del Norte County Regional Airport,US
CEI,Chiang Rai International Airport,TH
LMG,Lamassa,PG
CGZ,Municipal,US
CHH,Chachapoyas,PE
CHJ,Chipinge,ZW
CHK,Municipal,US
AHS,Ahuas,HN
AIF,Assis,BR
MRK,Marco Island,US
AIL,Ailigandi,PA
AIS,Arorae Island,KI
MRL,Miners Lake,AU
AJA,Ajaccio Napoleon Bonaparte Airport,FR
AJF,Jouf Airport,SA
AJI,Agri Airport,TR
AJK,Araak,IR
AJS,Abreojos,MX
AKA,Ankang,CN
AKD,Akola,IN
DRC,Dirico,AO
HVA,Analalava,MG
IAM,In Amenas Airport,DZ
MRN,Lenoir,US
MRR,Macara,EC
MSR,Mus Airport,TR
RGN,Yangon International Airport,MM
KPA,Kopiago,PG
AGH,Angelholm Helsingborg Airport,SE
MSS,Richards Field,US
AKR,Akure,NG
MSU,Moshoeshoe International Airport,LS
JRA,West 30th St Heliport,US
IDB,Idre,SE
CGI,Cape Girardeau Airport,US
CGK,Soekarno-Hatta International Airport,ID
MSW,Massawa International,ER
CGP,Shah Amanat International Airport,BD
CHA,Chattanooga Airport,US
CHL,Challis,US
CHR,Chateauroux,FR
CHS,Charleston International Airport,US
CHV,Chaves,PT
CHX,Changuinola,PA
CIA,Ciampino-G. B. Pastine International Airport,IT
CID,The Eastern Iowa Airport,US
CIE,Collie,AU
CII,Cildir,TR
CIJ,E. Beltram Airport,BO
AKU,Aksu Airport,CN
AKX,Aktyubinsk Airport,KZ
ALA,Almaty Airport,KZ
ALE,Alpine,US
ALL,Albenga,IT
ALP,Nejrab,SY
ALQ,Federal,BR
AMD,Ahmedabad Airport,IN
AMJ,Almenara,BR
AML,Puerto Armuellas,PA
AMS,Amsterdam Airport Schiphol,NL
AOS,Amook,US
JAV,Ilulissat Airport,GL
MSZ,Yuri Gagarin Airport,AO
MTA,Matamata,NZ
PCK,Porcupine Creek,US
CHB,Chilas,PK
DCK,Dahl Creek Airport,US
CHC,Christchurch International Airport,NZ
JON,Johnston Island,UM
AMZ,Ardmore,NZ
EGS,Egilsstadir Airport,IS
CHF,Jinhae,KR
CHG,Chaoyang Airport,CN
MGX,Moabi,GA
CIM,Cimitarra,CO
CIN,Carroll,US
CIO,MCAL Lopez,PY
CIQ,Chiquimula,GT
CIR,Cairo,US
CIS,Canton Island,KI
KVU,Korolevu,FJ
AHY,Ambatolahy,MG
ANA,John Wayne International,US
ANG,Brie-Champniers,FR
ANL,Andulo,AO
ANU,V.C. Bird International Airport,AG
AOC,Altenburg Nobitz,DE
AOG,Anshan Teng'ao Airport,CN
ARZ,N'zeto,AO
AUI,Aua Island,PG
BMZ,Bamu,PG
CIT,Shymkent Airport,KZ
CIX,Cornel Ruiz Airport,PE
CIZ,Coari,BR
CJA,Cajamarca Airport,PE
MTB,Monte Libano,CO
MTC,Selfridge ANGB,US
MTE,Monte Alegre,BR
MTG,Mato Grosso,BR
FOU,Fougamou,GA
GEO,Cheddi Jagan International Airport,GY
IGE,Iguela,GA
BPY,Besalampy,MG
MTI,Mosteiros,CV
MTL,Maitland,AU
RLK,Bayannur Tianjitai Airport,CN
NNB,Santa Ana Airport,SB
WBD,Befandriana,MG
RVA,Farafangana,MG
BMD,Belo,MG
RVC,Rivercess,LR
RVH,Rzhevka,RU
CJB,Coimbatore International Airport,IN
CJC,El Loa Airport,CL
APB,Apolo,BO
MNT,Minto,US
CJD,Candilejas,CO
KMA,Kerema,PG
MTN,Glenn L Martin,US
CJJ,Cheongju Airport,KR
CJL,Chitral,PK
CKB,Benedum Airport,US
MVL,Morrisville-Stowe,US
CKC,Cherkassy,UA
CKG,Chongqing Jiangbei International Airport,CN
CKH,Chokurdah Airport,RU
CKK,Cherokee,US
CKL,Chkalovsky,RU
CKM,Fletcher Field,US
APG,Phillips AAF,US
APH,Camp A P Hill,US
MUI,Muir AAF,US
APO,Apartado Airport,CO
APQ,Arapiraca,BR
APS,Anapolis,BR
APT,Marion County,US
APV,Apple Valley,US
APX,Arapongas,BR
APY,Alto Parnaiba,BR
APZ,Zapala,AR
AQA,Araraquara,BR
AQB,Quiche Airport,GT
CKN,Municipal,US
CKO,Cornelio Procopio,BR
CKT,Sarakhs,IR
TCJ,Torembi Airport,PG
AMO,Mao,TD
APL,Nampula Airport,MZ
ARB,Municipal,US
CKU,City,US
CKW,Christmas Creek Mine,AU
CKY,Conakry Airport,GN
MPM,Maputo International Airport,MZ
CKZ,Canakkale Airport,TR
MUJ,Mui,ET
SAQ,San Andros,BS
CLD,McClellan-Palomar Airport,US
CLG,Coalinga,US
CLH,Coolah,AU
CLI,Clintonville,US
CLK,Municipal,US
CLM,Fairchild International,US
CLN,Carolina,BR
CLO,Alfonso B. Aragon Airport,CO
ARD,Alor Island Airport,ID
ARG,Walnut Ridge,US
ARJ,Arso,ID
ARO,Arboletas,CO
ARR,Alto Rio Senguerr,AR
ART,Watertown Airport,US
ARV,Noble F. Lee,US
ARW,Arad,RO
ARX,Asbury Park,US
ASF,Astrakhan Airport,RU
ASS,Arathusa Safari Lodge,ZA
CLQ,Colima Airport,MX
CLR,Calipatria,US
FRK,Fregate Island,SC
FSL,Fossil Downs,AU
GSL,Taltheilei Narrows,CA
SDK,Sandakan Airport,MY
AEB,Youjiang,CN
YSX,Shearwater,CA
LSJ,Long Island,PG
MUL,Spence,US
MVQ,Mogilev,BY
MUO,Mountain Home AFB,US
MUU,Mount Union,US
CLS,Centralia,US
CLU,Columbus Municipal,US
CLV,Caldas Novas,BR
CLW,Executive,US
CLX,Clorinda,AR
CLY,Sainte Catherine Airport,FR
CLZ,Calabozo,VE
CMC,Camocim,BR
CMD,Cootamundra,AU
CME,Ciudad Del Carmen Airport,MX
CMF,Chambery,FR
CMH,John Glenn Columbus International Airport,US
MUW,Mascara-Ghriss,DZ
AMP,Ampanihy,MG
ASL,Harrison County,US
ASN,Talladega,US
ASX,Ashland,US
ASY,Ashley,US
ATG,Attock,PK
ATI,Artigas,UY
ATJ,Antsirabe,MG
ATM,Altamira Airport,BR
ATO,Ohio University,US
ATX,Atbasar,KZ
BFO,Buffalo Range,ZW
GHA,Noumerate Airport,DZ
MUY,Mouyondzi,CG
MVA,Reykiahlid,IS
MVB,Franceville/Mvengue,GA
MVC,Monroe - Walton County,US
MTP,Montauk Airport,US
CPV,Joao Suassuna Airport,BR
ANJ,Zanaga,CG
NUT,Nutuve,PG
CRW,Yeager Airport,US
YVC,La Ronge,CA
LWI,Lowai,PG
LIX,Likoma,MW
MVF,Dixsept Rosado,BR
MVG,Mevang,GA
MVH,Macksville,AU
MTR,Los Garzones Airport,CO
MVJ,Marlboro,JM
MUE,Kamuela,US
CSI,Casino,AU
MVM,Monument Valley,US
MUN,Jose Tadeo Monagas International Airport,VE
MVO,Mongo,TD
SIO,Smithton,AU
CTP,Carutapera,BR
GSJ,Puerto San Jose,GT
GUQ,Guanare,VE
GWD,Gwadar Airport,PK
AUG,Augusta Airport,US
AUM,Austin,US
AUN,Auburn,US
AUO,Auburn-Opelika,US
AUR,Aurillac Airport,FR
AUX,Araguaina Airport,BR
AVA,An Shun/Huang Guo Shu Airport,CN
CMK,Club Makokola,MW
CMN,Mohamed V International Airport,MA
CMP,Campo Alegre,BR
CMR,Colmar-houssen,FR
CMT,Cameta,BR
CMW,Ign Agramonte International Airport,CU
CNA,Cananea,MX
BRJ,Bright,AU
CND,Kogalniceanu Airport,RO
GWL,Gwalior Airport,IN
GWO,Leflore,US
GZP,Gazipasa Airport,TR
GZT,Gaziantep Airport,TR
HAQ,Hanimaadhoo Airport,MV
SPG,Whitted,US
WDN,Waldron Island,US
XMP,Macmillan Pass,CA
AXG,Algona,US
GOT,Goteborg Landvetter Airport,SE
XCL,Cluff Lake,CA
GOY,Amparai,LK
HDN,Yampa Valley Airport,US
HDY,Hat Yai International Airport,TH
YWK,Wabush Airport,CA
HEA,Herat International Airport,AF
HER,Heraklion Airport,GR
HYV,Hyvinkaa,FI
HZB,Merville/Calonne,FR
MUT,Muscatine,US
MUX,Multan Airport,PK
MUZ,Musoma Airport,TZ
AWM,Municipal,US
AXM,El Eden Airport,CO
AXN,Alexandria,US
AXP,Springpoint Airport,BS
AXV,Neil Armstrong,US
YLX,Long Point,CA
AYA,Ayapel,CO
AYE,AAF Heliport,US
AYP,Yanamilla Airport,PE
BIC,Aérodrome de Belle Île,FR
BSG,Bata Airport,GQ
CNG,Parvaud,FR
CNH,Municipal,US
CNI,Changhai,CN
CNK,Blosser Municipal,US
MVD,Carrasco International Airport,UY
MVN,Mt Vernon-Outland,US
MXA,Municipal,US
MXB,Masamba,ID
MXC,San Juan County,US
MXE,Maxton,US
MXG,Marlborough,US
YKU,Chisasibi,CA
NKU,Nkaus,LS
SUJ,Satu Mare International Airport,RO
DLA,Douala Airport,CM
MIS,Misima Island,PG
MUA,Munda Airport,SB
SSM,Sault Ste. Marie Airport,CA
MCX,Makhachkala Airport,RU
MCY,Sunshine Coast Airport,AU
MDC,Sam Ratulangi International Airport,ID
MOW,Mpanda Airport,TZ
LEF,Lebakeng,LS
LES,Lesobeng,LS
MPA,Mpacha,NA
CIP,Chipata,ZM
MXI,Imelda Romualdez Marcos,PH
MXJ,Minna,NG
LCT,Shijiazhuang Luancheng Airport,CN
MVV,Megeve,FR
MVZ,Masvingo,ZW
MXO,Municipal,US
MWA,Williamson County Airport,US
CNL,Sindal,DK
CNQ,Camba Punta Airport,AR
CNU,Martin Johnson,US
CNV,Canavieiras,BR
CNW,TSTC Waco Airport,US
COC,Concordia,AR
COE,Coeur D'Alene,US
COF,Patrick AFB,US
AYZ,Zahns,US
AZD,Yazd Airport,IR
AZG,Apatzingan,MX
AZS,Samaná El Catey International,DO
AZT,Zapatoca,CO
BAB,Beale AFB,US
BAD,Barksdale AFB,US
BAE,Barcelonnette,FR
BAF,Barnes,US
BAL,Batman Airport,TR
COG,Mandinga,CO
COI,Merritt Island,US
COJ,Coonabarabran,AU
COM,Coleman,US
DAU,Daru Airport,PG
MNV,Mountain Valley,AU
YFO,Flin Flon Airport,CA
SZZ,Goleniow Airport,PL
OMG,Omega,NA
JJN,Quanzhou Jinjiang International Airport,CN
JAX,Jacksonville International Airport,US
SOL,Solomon,US
YGV,Havre St Pierre,CA
JBQ,La Isabela International Airport,DO
JER,Jersey Airport,JE
JFK,John F. Kennedy International Airport,US
LUN,Kenneth Kaunda International Airport,ZM
JKG,Axamo Airport,SE
MDT,Harrisburg International Airport,US
MDW,Chicago Midway International Airport,US
KCI,Kon,ID
MDZ,El Plumerillo International Airport,AR
KOE,El Tari Airport,ID
JLA,Quartz Creek,US
KOJ,Kagoshima Airport,JP
KOK,Kruunupyy Airport,FI
LCH,Lake Charles Regional Airport,US
MEB,Essendon Airport,AU
MWB,Morawa,AU
MWE,Merowe,SD
BAY,Baia Mare,RO
BAZ,Barbelos,BR
BBB,Benson Municipal Airport,US
BBC,Bay City,US
BBD,Curtis Field,US
BBF,Burlington,US
BBM,Battambang,KH
BCB,Virginia Tech,US
BCC,Bear Creek,US
COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,AR
COS,Colorado Springs Airport,US
COT,Cotulla,US
COU,Columbia Regional Airport,US
COV,Covilha,PT
KGH,Yongai,PG
KCJ,Komaio,PG
TAB,A.N.R. Robinson International Airport,TT
TAE,Daegu International Airport,KR
BCL,Barra Colorado,CR
MFH,Mesquite,US
TAH,Tanna Airport,VU
TAK,Takamatsu Airport,JP
TAM,Tampico International Airport,MX
TBR,Statesboro-Bulloch County Airport,US
TBS,Tbilisi International Airport,GE
AAH,Aachen/Merzbruck,DE
TBZ,Tabriz Airport,IR
COW,Coquimbo,CL
COX,Congo Town,BS
BCH,Cakung International,TL
LCK,Rickenbacker International Airport,US
LCX,Liancheng Airport,CN
LDG,Leshukonskoye,RU
COZ,Constanza,DO
CPA,A. Tubman,LR
CPC,Chapelco Airport,AR
CPE,Campeche International Airport,MX
CPF,Cepu,ID
CPH,Copenhagen Airport,DK
CPL,Chaparral,CO
CPM,Compton,US
CPO,Chamonate Airport,CL
CPQ,International,BR
BCJ,Baca Grande,US
BCM,Bacau Airport,RO
BCQ,Brack,LY
BCR,Boca Do Acre,BR
BCT,Public,US
BCU,Bauchi,NG
BCX,Beloreck,RU
BCY,Bulchi,ET
BDC,Barra Do Corda,BR
BDF,Rinkenberger,US
BDN,Talhar,PK
CPR,Casper/Natrona County International Airport,US
CPS,St. Louis Downtown Airport,US
CPT,Cape Town International Airport,ZA
ABD,Abadan Airport,IR
YGO,Gods Lake Narrows Airport,CA
ABT,Al-Aqiq Airport,SA
ABV,Nnamdi Azikiwe International Airport,NG
ABX,Albury Airport,AU
AMA,Rick Husband Amarillo International Airport,US
YDJ,Hatchet Lake,CA
CPU,Cururupu,BR
TCA,Tennant Creek,AU
TCG,Tacheng,CN
TCN,Tehuacan,MX
TED,Thisted,DK
YEU,Eureka,CA
TEI,Tezu,IN
TEM,Temora,AU
TEN,Tongren Airport,CN
CPX,Benjamin Rivera Noriega Airport,PR
TER,Lajes Field,PT
TES,Tessenei,ER
CQF,Calais,FR
CRC,Cartago,CO
WDH,Hosea Kutako International Airport,NA
CRD,General E. Mosconi International Airport,AR
CRH,Cherribah,AU
CRM,National Airport,PH
CRO,Corcoran,US
CRQ,Caravelas,BR
CRR,Ceres,AR
CRS,Corsicana,US
CRT,Municipal,US
CRX,Roscoe Turner,US
CRZ,Turkmenabad,TM
BDY,State,US
BEH,Ross Field,US
BEK,Bareli,IN
BEO,Belmont,AU
BEP,Bellary,IN
BEV,Beer Sheba,IL
BEX,Benson RAF Station,GB
BFD,Bradford Airport,US
BFE,Bielefeld,DE
CSA,Isle Of Colonsay,GB
CSB,Caransebes,RO
MUB,Maun Airport,BW
ADH,Aldan,RU
ADL,Adelaide Airport,AU
OUU,Ouanga,GA
ADU,Ardabil Airport,IR
AEG,Aek Godang,ID
BFI,Boeing Field International Airport,US
DNM,Denham,AU
TGO,Tongliao Airport,CN
TGP,Podkamennaya Tunguska Airport,RU
TGQ,Tangara da Serra,BR
TGT,Tanga Airport,TZ
